"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2098","test_03_wizards[chromium]","tests","Thu May 08 20:01:25 GMT 2025","passed","Thu May 08 20:01:27 GMT 2025","Test1","test_sanity","",""
"","2039","test_01_wizards[chromium]","tests","Thu May 08 20:01:23 GMT 2025","passed","Thu May 08 20:01:25 GMT 2025","Test1","test_sanity","",""
"","276","test_02_wizards[chromium]","tests","Thu May 08 20:01:25 GMT 2025","passed","Thu May 08 20:01:25 GMT 2025","Test1","test_sanity","",""
