"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","test_02_wizards[chromium]","tests","Thu May 08 09:00:02 GMT 2025","passed","Thu May 08 09:00:03 GMT 2025","Test1","test_sanity","",""
"","2097","test_03_wizards[chromium]","tests","Thu May 08 09:00:03 GMT 2025","passed","Thu May 08 09:00:05 GMT 2025","Test1","test_sanity","",""
"","2034","test_01_wizards[chromium]","tests","Thu May 08 09:00:00 GMT 2025","passed","Thu May 08 09:00:02 GMT 2025","Test1","test_sanity","",""
